"0","8709630 8710402 8709624"
"01c4394","8689739 8688890 8670443 8712155 8713852 8669541 8686479 8677965 8711277 8677074 8690272 8688694 8673834 8691696 8715377 8693015 8690198 8687019 8684955 8685525 8714464 8677914 8689902 8687905 8672556 8689767 8677010 8690169 8685647 8712581 8689897 8674576 8712177 8677431 8673573 8673990"
"02c4944","8712587 8713150 8712221"
"03","8713321"
"0329","8709741"
"0467","8714983"
"049317","8712587 8713150 8712221"
"049318","8712606"
"04c3537","8713520 8713308"
"04c4294","8713151 8709881 8712935 8711295 8712918 8707973"
"05c3053","8710402 8710435 8710757"
"0648","8713892"
"068805","8709741"
"068877","8642141"
"06c2859","8712252 8711884 8711886 8712561 8711687 8708466 8709137"
"0700","8670082"
"0730am","8689902"
"079903","8713892"
"07c4794","8711715"
"07c5595","8713443 8714386"
"0800am","8689902"
"0815","8669541"
"08301300","8711295"
"08301745","8711295"
"0830am","8673834"
"0845","8669541"
"08c2893","8709772 8714983 8676117"
"0900","8689922"
"0pm","8709630"
"1","8676007 8690569 8682887 8672723 8705339 8709772 8672672 8677965 8712587 8712252 8709948 8675453 8710216 8710639 8705410 8710402 8714896 8712790 8713050 8713892 8713151 8713093 8672073 8688694 8681281 8646033 8711651 8710011 8713539 8691696 8699768 8715830 8667078 8688478 8670250 8666986 8711151 8715311 8686796 8712727 8643360 8709624 8671323 8675008 8712216 8713760 8712935 8709714 8713363 8702402 8711784 8712221 8714766 8705706 8701569 8644784 8685463 8669027 8706822 8689902 4618841 8715305 8713988 8676700 8672021 8645364 8711295 8675974 8716164 8708813 8689985 8687698 8689051 8644157 8689176 8712918 8711127 8705382 8686888 8667641 8672691 8713210 8673816 8689108 8715237 8685460 8708226 8707973 8673573 8687301 8713865 8675052 8702228 8705875 8689922 4605374 8707944"
"10","8692624 8707993 8713892 8705856 8691696 8674335 8711089 8713474 8690148 8714386 8706845 4618841 8706422 4623769 4605374"
"100","8714776 8712252 8705856 8713093 8645364"
"1000","8713520 8713308"
"10000","8685550 8671170"
"100000","8641889"
"1000am","8711784"
"100pm","8688694 8711784"
"1015","8688490"
"1025kg","8709630"
"10am","8667078 8675052"
"10am7pm","8687152 8707245"
"10c4754","8708521 8713760 8702002 8710822"
"10c5117","8716454"
"10c5468","8712606"
"10hr","8712252"
"10kg","8645522"
"10pm","8667078 8715178"
"11","8712587 8713150 8710435 8706800 8712221 4618841 8708198"
"1100","8708276"
"1100am","8689902"
"1130","8689176"
"1130pm","8690198"
"115","8646033"
"11c3373","8642141"
"11c5781","8710135 8713988"
"11pm","8687976"
"11pm7am","8711886"
"11pm7pm","8708466"
"12","8711277 8709948 8668061 8710394 8676461 8671404 8710757 8715830 8702002 8674923 8685525 8670712 8708276 8689902 4618841 8708277 8687905 8708198 8690169 8685647 8713455 8689897 8671123 8677431 8702228"
"1200pm","8711784"
"120year","8707887"
"1230pm","8711376"
"12am","8690966"
"12c5051","8716164"
"12c6135","8687301"
"12hrsshift","8713892"
"12pm","8686318"
"13","8713474 8708618 8707901 8708198 4605374 8707944"
"1300","8689922"
"1301","8712587 8713150 8712221"
"13485","8675254"
"13c6342","8710394 8712564"
"13c6684","8709630 8712790 8713093 8707245"
"13ft","8687992"
"14","8707887 8713474 8707245 8667469 8687976"
"140","8699416"
"14001","8714972"
"1400pm","8689902"
"14c7215","8713321 8712216"
"15","8705530 8675642 8641889 8713093 8686235 8714114"
"150","8715830"
"159457","8692187"
"15c7744","8711784"
"15c7752","8715452"
"16","8713093 8674934 8712606 8708717"
"1600pm","8689902"
"16500","8646033"
"16c7883","8712727"
"170","8713778"
"1730","8669541"
"17c8920","8707887"
"17c8975","8708276"
"18","8675453 8716164"
"1800","8713321 8713482 8689922"
"18001","8714972"
"18003000","8713482"
"1894","8707887"
"18c9105","8712324"
"19","8706422"
"1901","8709741"
"1911","8713778"
"1930pm","8689902"
"1968","8706408"
"19c9950","8711544 8711845 8712666"
"1mbwe","8709741"
"1mth","8713520 8713308"
"1outreach","8640793"
"1pm","8702002 8709543 8701711"
"1pm6pm","8687152"
"1year","8685263 8714055 8643986 8710351"
"2","8714615 8676007 8685263 8672723 8687878 8675602 8686252 8672672 8712587 8707713 8714097 8643909 8710543 8709948 8674981 8712926 8714983 8710020 8675453 8681947 8705410 8706870 8677074 8713050 8710135 8713892 8676760 8713093 8672726 8715872 8709265 8646033 8710011 8706349 8699768 8687058 8712727 8673692 8677818 8706197 8713760 8707245 8687019 8709306 8706845 8702402 8682744 8711784 8705706 8701569 8708276 8686235 8690925 8644784 8685463 8669027 8673352 8644190 8713552 8706822 4618841 8642141 8713778 8698492 8676700 8645364 8711295 8664702 8675630 8687905 8675974 8708855 8715178 8683596 8716164 8708813 8687071 8702248 8666739 8674685 8711127 8708198 8709993 8686888 8709065 8672691 8713210 8689108 8668325 8715237 8689927 8685460 8708404 8689956 8705875 8667837 8706408 8683591 8707944 8671796"
"20","8707713 8712011"
"200","8713093 8713638"
"2000","8709948 8710402 8641889 8712713 8709624 8711687 8689767 8670678"
