"0","8710682 8713458 8709928"
"01","8712972"
"0100","8708325"
"01c3135","8715696"
"01c4394","8712208 8689699 8679113 8710718 8713327 8705241 8677172 8674914 8693857 8713227 8671962 8699775 8674649 8678362 8677863 8713235 8711296 8701755 8692940 8710376 8677167 8694027 8715961 8713272 8678396 8672592 8684963 8687436 8693875 8710487 8678009 8712594 8690263 8678441 8704572 8713705"
"01c4934","8678607"
"02","8692965"
"02c3423","8715581"
"02c4944","8713147"
"02c5465","8688258"
"0312","8706947 8713735"
"0329","8713230"
"0467","8714976 8715004"
"049317","8713147"
"04c4294","8714768 8714847 8712882 8709874 8712878 8713061 8712853 8711925 8711971"
"05c3053","8712650 8710529 8711217 8715161 8710682 8711080 8716121 8716124"
"0648","8715060 8714130 8713908"
"068805","8713230"
"06c2859","8716319 8713396 8713624"
"0753","8686136"
"079903","8715060 8714130 8713908"
"07c5595","8713743"
"0800","8713209"
"08001600","8673416"
"0845","8714727"
"08c2893","8713756 8714976 8715004 8675655 8691155"
"08c4705","8715176"
"09c3051","8714392"
"1","8678471 8714475 8686136 8690401 8716238 8643877 8715060 8714033 8705952 8690581 8687739 8714130 8713598 8710379 8712511 8689335 8713808 8679113 8674887 8710718 8708468 8713908 8709871 8693857 8714727 8714069 8691767 8713709 8676081 8712412 8714676 8692965 8713986 8689015 8712878 8689128 8673416 8710529 8675883 8690919 8708014 8709545 8716131 8688426 8689368 8678257 8674604 8688071 8690383 8686855 8713318 8690396 8683346 8701277 8690646 8709423 8677167 8688062 8674601 8704269 8691155 8713813 8688193 8715581 8713272 8715122 8678396 8716306 8690171 8714925 8711536 8689276 8716039 8686866 8690273 8713735 8710660 8716124 8706839 8709419 8709860 8676713 8693875 8714498 8672779 8674005 8688258 8712594 8675070 8709369 8686563"
"10","8715060 8676122 8714130 8713908 8715592 8715005 8711056 8689015 8689128 8690919 8672345 8715435 8701277 8714897 8692252 8716039 8690273 8713786 8689404 8689730"
"100","8685871 8678607 8676981 8712563"
"1000","8705849 8679113 8674986 8714925 8675313 8712853"
"10000","8714069"
"100000","8674986 8675313"
"1000hrs1700hrsmonfri","8670968"
"100pm","8711779"
"1015kg","8715483"
"1025","8710718"
"108pm","8671962"
"109","8711536"
"10am","8690581 8671962"
"10c4754","8708190"
"10c5117","8714498 8715627"
"10h","8710376"
"10hr","8711704"
"10kg","8716309 8688062"
"10m","8716309"
"10pm","8679113"
"11","8689015 8689128 8701277 8713147 8716039 8691100"
"11386976","8713743"
"1194","8710718"
"11am","8674887"
"11c3793","8715510 8715476"
"11c5781","8712678 8715184"
"11pm","8712882"
"12","8678471 8693333 8715483 8689699 8686136 8685871 8636193 8672282 8678212 8688021 8693352 8714727 8713343 8713209 8712650 8671962 8710833 8689128 8715184 8678459 8709232 8692450 8710682 8701277 8711080 8714394 8713173 8689382 8713272 8678230 8716039 8678528 8688219 8678441 8713705"
"1200","8716309"
"1218","8690439"
"1230pm","8711779"
"1234612","8713808"
"1245pm","8712882"
"12c5051","8716131"
"12c6060","8715005"
"12c6135","8686655"
"12c6253","8709534"
"12hour","8715607 8691712"
"12hrshift","8715060 8714130"
"12hrsshift","8713908"
"12pm","8714618 8710833 8714671"
"13","8685871 8713230 8690919 8673777 8701277 8713357 8708095 8690273 8714498"
"1300monthly","8716035"
"1301","8713147"
"13485","8716101"
"13800","8711536"
"13c6305","8711056 8709860"
"13c6342","8714033 8708219"
"13c6684","8713187 8712773"
"13conduct","8716039"
"13ghz","8636193"
"13th","8713497 8713220"
"14","8690439 8713187 8716131 8716039 8713680"
"14000","8715592 8715438 8687711"
"14001","8691712"
"14c7092","8715598"
"14c7215","8712412 8712563 8713298 8713357 8710660"
"14days","8670968"
"15","8689699 8676122 8712412 8713396 8713743 8709168 8690171 8716039"
"1500","8712563"
"1516","8713173"
"1521","8714367 8714475"
"15kg","8713497"
"16","8709168"
"1600","8709950 8709928"
"16002400","8673416"
"16c7883","8712511"
"16c8443","8714676"
"16s8112","8709232"
"170","8713514"
"1700","8713209"
"1700monthly","8716035"
"1730hrs","8705241"
"1770","8687739"
"17c8900","8714727"
"17c8920","8713209"
"17c8975","8712475 8712521"
"18","8688258"
"1800","8713497 8713343 8712412 8709545 8716309 8712563"
"18627","8714392"
"19","8669401 8714574"
"1900","8709423"
"1901","8713230"
"19010","8715476"
"19011","8715510"
"1930","8705849"
"1962","8678212 8678230"
"1998","8708095"
"19c9859","8710833"
"19c9950","8712876 8712387 8715560 8712310"
"1mb","8713230"
"1month","8716306"
"1on1","8716136"
"1pm","8712882 8712563 8676713"
"1st","8714676 8674601 8714897"
"1to1","8673239"
"1weekend","8716035"
"1work","8684991"
"1year","8715607 8687714 8672779"
