"01","8713434"
"0101","8688152"
"01c4394","8713280 8685254 8708218 8686506 8678389 8694056 8712253 8710320 8677970 8677436 8689863 8692390 8686526 8693408 8693064 8710605 8689398 8713708 8672579 8716106 8692520 8713288 8674272 8707157 8678572 8690749 8712160 8713713 8710734 8677912 8676406 8716423 8678357 8705714 8669727 8674841 8671972 8716398 8672595 8678455"
"01c4934","8709412"
"02c3423","8708961"
"02c4944","8713407"
"0308","8715692 8715660"
"0329","8710952"
"0467","8714985 8715013 8715016 8715011"
"048616","8709433"
"048660","8714953"
"049317","8713023 8713407"
"04c3537","8712829"
"04c4142","8715658"
"04c4294","8714843"
"0500","8715016"
"05c3053","8710537 8710503 8711265"
"05c3451","8715680 8715810"
"0630hrs","8675677"
"0648","8706158"
"068805","8710952"
"068913","8714494"
"06c2859","8713767 8713389 8716099 8712547 8713388 8713501 8709294 8714039 8713528"
"079903","8706158"
"07c3924","8715088"
"07c4794","8714494"
"07c5595","8713436 8714863 8713751"
"07c5771","8713371 8712732 8712719 8712714"
"0800","8715016"
"0845","8715917"
"08c2893","8714985 8675663 8715013 8715016 8709706 8715011"
"1","8689313 8706158 8714494 8675136 8670811 8671519 8688351 8710564 8713389 8685243 8710952 8688120 8710320 8712599 8707492 8688576 8688575 8673022 8669207 8643067 8688287 8670453 8715917 8698760 8716099 8677436 8689863 8714703 8710263 8711440 8709433 8702944 8675677 8712670 8715668 8712700 8714900 8712632 8710906 8715692 8670773 8713708 8703086 8701740 8715246 8676670 8673822 8713288 8676906 8690011 8689931 8690192 8708459 8710503 8709412 8715810 8712547 8690946 8548156 8710734 8689984 8713388 8689243 8714863 8706962 8686461 8713676 8646750 8712813 8705578 8678220 8668607 8709706 8644953 8674782 8713463 8712954 8676098 8687891 8703842 8675063 8711303 8671714 8666805 8705714 8686960 8671972 8691030 8708871 8709373 8712065 8685825"
"10","8706158 8684415 8712253 8688576 8688575 8670453 8716099 8689863 8715668 8708755 8687765 8712200 8691021 8715285 8711303 8689299 8713751 8712784 8710422"
