"0","8692285 8713446 8692139"
"0050","8678306"
"0177","8711670"
"01c4394","8715018 8691105 8677382 8684945 8693092 8678131 8713824 8709354 8671608 8714083 8688340 8713164 8678433 8678432 8712755 8691925 8678333 8690942 8711221 8713078 8678420 8716219 8678411 8691000 8678176 8716128 8678448 8678514 8679041 8677537 8716201 8712634 8714096 8678145 8678376 8710434 8693083 8691091 8693036 8713703"
"01c4934","8708714"
"02c4944","8713026 8714546"
"0308","8715612"
"0379","8713895"
"0467","8714994"
"049317","8713026 8714546"
"04c3537","8713799 8713312"
"04c4294","8713070 8712916 8712856 8712831"
"05","8675489 8665259"
"0523","8714247"
"05c3053","8711102 8715228"
"05c3451","8715720"
"0648","8713881"
"06c2859","8713851 8713399 8713385"
"0700160014002300","8677381"
"079903","8713881"
"07c3924","8716183"
"07c5595","8715518 8714212"
"07c5771","8706618 8715982 8715307"
"0821","8677615"
"08301730","8715737"
"0874","8713236"
"08c2893","8714994"
"08c4705","8716159"
"09c3051","8714410"
"1","8715018 8706721 8679022 8687463 8708499 8679064 8691444 8716057 8713070 8713446 8711102 8713824 8675486 8713010 8622796 8714506 8714664 8712913 8690349 8713692 8706618 8673935 8669092 8716391 8689789 8713193 8674531 8678967 8672440 8687870 8693580 8685935 8712525 8713201 8676927 8692029 8675248 8691925 8710613 8712996 8675489 8677864 8672618 8711221 8713928 8693926 8705932 8708562 8690285 8676215 8691127 8716324 8706887 8645177 8686595 8715767 8686518 8690139 8688898 8716018 8692468 8715368 8715982 8677530 8714934 8716292 8713402 8686014 8711568 8693052 8714534 8685824 8711670 8678306 8712359 8715770 8709503 8713042 8716201 8690277 8713881 8689516 8710434 8714458 8710746 8689523 8678644 8648083 8692906 8716401 8710568 8713710 8678263 4624243 8713703"
"10","8690376 8692285 8713115 8691005 8711868 8715518 8669092 8713193 8691925 8715574 8710613 8714898 8692231 8715096 8711728 8711670 8715770 8709503 8715469 8713881 8713727 8691091"
"100","8692231 8716401"
"10000","8673758"
"1000pm","8715381"
"100k","8715863"
"1015","8715555 8714957"
"1015pm","8693926"
"1030pm8am","8715538"
"10am","8713727 8671820"
"10am7pm","8690376"
"10c4754","8710801"
"10h","8706618"
"10hr","8691925"
"10kg","8691091"
"10pm","8671820"
"10raw","8675486"
"10th","8691925"
"11","8713026 8669092 8715228 8710613 8715770 8709503 8713727 8714546 8712684"
"110hour","8691091"
"1115pm","8693926"
"115","8705932"
"115am","8713399"
"115pm","8693926"
"11am","8715787"
"11am830pm","8715538"
"11am8pm","8706618 8691091"
