"0","8709491"
"00pm","8675823"
"01c3135","8714674"
"01c4394","8691013 8693108 8677952 8677473 8715835 8677933 8676757 8693162 8710743 8678265 8715008 8692842 8716051 8694061 8692503 8663415 8715432 8692800 8716083 8677937 8716158 8692475 8714668 8678163 8677495 8671536 8715367 8675293 8678150 8693675 8691229 8696593"
"02","8713391"
"020","8677188"
"02c3423","8712144 8715764"
"02c4944","8714362 8712986 8713964"
"02c5351","8713781"
"0308","8715849"
"0329","8714923"
"03c5391","8713886"
"0403","8685413"
"0467","8714989"
"049317","8714362 8712986"
"04c3537","8713516 8713313 8713503 8714352"
"04c4294","8712924 8712885 8713066 8713515"
"05c3053","8710549"
"0648","8713969"
"068805","8714923"
"068807","8685413"
"06c2859","8712307 8712278 8713391 8713506 8713296"
"06c3126","8716163"
"079903","8713969"
"07c3924","8715622 8715950"
"07c5595","8714223"
"0800","8713211"
"0810","8712811"
"0830","8677536"
"08c2893","8714989"
"08c4705","8716198 8716190"
"09c3051","8714402"
"09c5803","8714891"
"1","8713969 8713516 8714459 8677952 8689761 8713487 8674179 8709653 8705746 8690855 8714000 8693058 8692840 8713686 8714288 8714674 8677933 8716050 8710743 8715513 8715306 8689440 8688749 8714242 8709472 8678205 8690903 8715934 8675094 8686145 8709342 8648458 8669571 8714054 8692503 8677536 8707137 8713044 8691949 8693605 8713886 8685619 8691701 8688762 8713503 8713369 8692808 8688474 8674433 8714826 8710429 8691285 8714711 8712986 8715432 8713831 8710627 8692800 8713507 8714923 8714989 8673798 8673281 8712885 8691802 8692475 8690261 8715527 8714668 8713066 8688758 8690621 8716077 8687066 8715366 8714207 8715904 8675278 8709456 8686459 8713515 8714229 8714328 8671889 8716422 8715801 8693675 8691229 8716023 8686250 8696593 8706785 8677732 8707500"
"10","8713969 8693058 8713686 8716050 8707137 8715791 8710257 8714826 8714711 8691321 8692776 8692975 8714328 8690418 8714352"
"100","8691872 8713846 8715949 8687817"
"1000","8713313 8674813"
"100000","8674813"
"1015","8673862"
"1030","8715523 8687817"
"1045pm","8716261 8713515"
"10am","8686459"
"10c4754","8710745"
"10c5117","8714587"
"10hourafter","8713686"
"10pm","8711813 8692682"
"10x","8714174"
"11","8685900 8714362 8714826 8714711 8712986 8715523 8714328"
"1100","8690906"
"1130am","8710743 8716261"
"1194","8710743"
"11c3793","8714271"
"11c5781","8714000 8713686 8713685"
"11pm","8692870 8675512"
"11pm7pm","8713296"
"11th","8714206"
"12","8688538 8713516 8710549 8692870 8714321 8676757 8710743 8715289 8692842 8678205 8713211 8675094 8714845 8714587 8714362 8689188 8715310 8714826 8714711 8713997 8713141 8675512 8691023 8675176 8711411 8690261 8713391 8715785 8690621 8709806 8716077 8712739 8675293 8689894 8688107 8709078 8707500"
"12000","8678249"
"1230","8677536"
"1230pm","8711813"
"12c6060","8714927 8714823"
"12c6253","8716390 8715849 8715366"
"12hour","8692682 8715600"
"12hr","8716012"
"12month","8716051 8711411"
"12months","8691285 8711411"
"12pm","8713369"
"13","8692631 8714826 8714711 8712278"
"1301","8714362 8712986"
"1333","8713739"
"134852016","8691076"
"13875","8710257"
"13c6305","8710267 8706785"
"13c6614","8713997 8713993"
"13c6684","8708169 8709777 8709092 8708988 8709078"
"14","8708169 8714672 8714242 8677188 8709092 8689188 8714826 8675080 8708988"
"14000","8715791 8715455"
"140000","8711813"
"14001","8713642 8693403 8692776 8690418"
"145pm","8716261"
"14c7175","8716273"
"14c7215","8710627"
"14c7275","8715513"
"15","8710257 8714826 8690621"
"150","8675094 8690261"
"1500","8674179 8675512"
"150000","8675512"
"1500trained","8715310"
"1521","8714288 8714443"
"15740","8714271"
"15c7752","8715420"
"15hours","8710257"
"15mins","8558188 8714632"
"16c7862","8714711"
"16c7883","8712558 8712565"
"16c8004","8710257"
"1700","8713846 8713211 8716023"
"1710","8712811"
"1730","8677536"
"1750","8675094 8690261"
"17925","8710257"
"17c8660","8714672"
"17c8920","8713211"
