"0100","8708544"
"01101","8674184"
"01c4394","8715223 8688217 8679114 8710468 8710416 8713264 8715421 8679044 8690968 8688233 8713245 8711537 8713062 8678487 8678142 8671981 8677600 8678393 8713323 8711253 8712183 8693328 8687929 8676429 8690512 8707138 8696592 8708270 8687852 8673433 8716332 8688057 8690062 8710509 8673516 8710650 8711276 8678650 8678493 8710493 8674258 8709090 8677961 8674474 8676779"
"02","8704678"
"02c4944","8709126 8712276"
"02c5351","8711826"
"03","8708611"
"0308","8715819 8715676"
"0329","8705969 8710949"
"04307c","8707779"
"0467","8714975"
"048619","8708567"
"049317","8709126 8712276"
"04c4294","8708622 8711936 8709141 8713058 8712894 8709897 8712937"
"05","8708270"
"05c3053","8710514 8706162 8715688"
"05c5278","8707779"
"05month","8675117"
"068805","8705969 8710949"
"068913","8714038"
"06c2859","8712625 8712754 8711816 8712543 8712518 8712467"
"0730hrs1945hrs","8643576"
"07c4794","8714038"
"0801","8689390"
"0830","8708544"
"08301745","8715643"
"0830am","8688233 8673433 8673516"
"0874","8713699"
"08c2893","8708538 8710610 8714975 8688986"
"09c3051","8713118"
"1","8645948 8706255 8693588 8667530 8686951 8703541 8710610 8713264 8675209 8674184 8715421 8677625 8689660 8685967 8713589 4617860 8674786 8713140 8708688 8705969 8708962 8711253 8713543 8714745 8715829 8688555 8709141 8710949 8708188 8647824 8688986 8713058 8708152 8712423 8708567 8713561 8689237 8712894 8712685 8684647 8709897 8688647 8712543 8711826 8709214 8713367 8686075 8687388 8711946 8708270 8687852 8676672 8711307 8688057 8645621 8689443 8709973 8669741 8686043 8675953 8673735 8715106 8676261 8646500 8711365 8707779 8709915 8711158 8713029 8713276 8703735 8643082 8684335 8694001 8710810 8710774 8711881 8674474 8674936 8708247 8696613"
"10","8673884 8703693 8675580 8715798 8715113 8713495 8688555 8647824 8693585 8674817 8692522 8711276 8682455 8715834 8709090 8712559 8707871"
"100","8675580 8676185 8688555 8708188 8713493"
"1000","8674340 8647924"
"10000","8675580 8714376 8672190"
"100000","8674340"
"10042","8693588"
"1030pm","8678493"
"10am","8714745 8688294 8711946"
"10am8pm","8688555"
"10c3364","8714013"
"10c4754","8707642 8704590"
"10kg","8709766"
"10pm","8714376"
"11","8709126 8647824 8712276 8709648 8715688 8712559"
"1130hrs","8708544"
"11c5781","8710134 8709973 8710176 8711158"
