"01c4394","8691032 8710754 8712119 8671959 8708192 8670430 8712157 8672593 8707025 8678052 8712215 8710747 8711234 8676846 8693090 8712141 8691774 8712269 8713320 8713620 8686019 8689069 8707884 8710640 8672106 8677453 8693042 8671967 8690073 8647926 8706503 8678343 8712175 8688848 8716169 8705263 8686490 8710286 8672077 8704585 8692316"
"020","8677301"
"02c4944","8708519"
"03","8693144"
"0329","8713225 8710941 8709917"
"0467","8714977"
"049317","8708519"
"04c4294","8708339 8712907 8716354 8712925 8710442 8707945"
"05","8668182"
"051","8711328 8711336"
"05c3053","8711328 8711336 8711146 8710672 8710400"
"05c3451","8715807 8715817 8715709 8715774 8712850 8712861 8715739"
"0600","8712348"
"068805","8713225 8710941 8709917"
"06c2859","8713912 8713412 8712592 8712514 8713297 8712774"
"06c3745","8707391"
"0700am","8667649"
"0715","8712088"
"0721js","8693144"
"079903","8686909"
"07c3924","8715865"
"07c5771","8715514 8712699 8715449"
"08","8703660"
"0830","8673035 8708464"
"0830h","8674465"
"08c2893","8676808 8714977 8685528"
"08c3226","8708575"
"09","8703660"
"1","8692361 8691032 8705655 8690071 8714861 8666994 8675458 8712965 8672951 8671959 8704182 8710888 8688207 8678052 8707170 8664247 8715514 8673173 8715919 8709140 8707168 8691774 8647165 4617881 8687850 8647717 8676646 8713620 8710908 8705705 8704260 8686019 8685795 8689069 8702346 8707625 8691787 8703285 8670572 8706794 8708339 8710048 8709281 8713213 8710672 8705897 8706865 8677657 8709917 8692396 8715772 8677248 8713651 8645095 8712127 8667647 8688583 8704578 8704586 8715641 8713345 8685428 8686275 8706798 8686561 8671167 8708575 8715449 8709154 8707391 8709965 8708722 8707945 8667649 8688714 8686996"
"10","8685684 8690071 8675458 8678052 8664247 8712438 8685710 8668182 8691774 8687850 8713020 8706742 8685795 8707041 8707884 8691787 8688163 8672880 8688969 8715772 8712291 8667647 8672646 8704682 8686909 8712699 8686417 8674353 8714293 8713733 8690318"
"100","8689092 8687692 8710442 8716079"
"1000","8708724 8674808"
"10000","8676174 8715709 8685519 8665967"
"1000000","8676174"
"1000pm","8686996"
"100mth","8685684"
"100pm","8678052 8691774"
"1014","8713527"
"1015","8712088"
"1030","8712088"
"1030am","8708836 8705897"
"108pm","8671959"
"10am","8671959 8671967"
"10c4754","8704581 8707591 8707581"
"10c5117","8714844"
"10feet","8688163"
"10h","8670430"
"10pm","8705897"
"10x","8686619"
